"Count","Result","Time","Title","FullPath","LengthInKB","HexSignature","FileExtn","PotentiallyMalicious","ExtNoMatch"
"338","Extension matches magic number","9/1/2018 12:38:38 AM","com.ti.dvt.core_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.core_4.1.0.201609091143.jar","11","504b",".jar","1","0"
"339","Extension matches magic number","9/1/2018 12:38:36 AM","com.ti.dvt.coverageplugin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.coverageplugin_4.1.0.201609091143.jar","37","504b",".jar","1","0"
"340","Extension matches magic number","9/1/2018 12:38:42 AM","com.ti.dvt.datamodel_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.datamodel_4.1.0.201609091143.jar","2939","504b",".jar","1","0"
"341","Extension matches magic number","9/1/2018 12:38:44 AM","com.ti.dvt.energytrace_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.energytrace_4.1.0.201609091143.jar","4907","504b",".jar","1","0"
"342","Extension matches magic number","9/1/2018 12:38:30 AM","com.ti.dvt.graph.visualization.doc_3.5.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.graph.visualization.doc_3.5.0.201609091143.jar","333","504b",".jar","1","0"
"343","Extension matches magic number","9/1/2018 12:38:37 AM","com.ti.dvt.graph.visualization_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.graph.visualization_4.1.0.201609091143.jar","160","504b",".jar","1","0"
"344","Extension matches magic number","9/1/2018 12:38:27 AM","com.ti.dvt.gridview_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.gridview_4.1.0.201609091143.jar","197","504b",".jar","1","0"
"345","Extension matches magic number","9/1/2018 12:38:45 AM","com.ti.dvt.ideadapter2_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.ideadapter2_4.1.0.201609091143.jar","38","504b",".jar","1","0"
"346","Extension matches magic number","9/1/2018 12:38:27 AM","com.ti.dvt.ideadapter_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.ideadapter_4.1.0.201609091143.jar","14","504b",".jar","1","0"
"347","Extension matches magic number","9/1/2018 12:38:42 AM","com.ti.dvt.ofssymbolmanager_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.ofssymbolmanager_4.1.0.201609091143.jar","12915","504b",".jar","1","0"
"348","Extension matches magic number","9/1/2018 12:38:37 AM","com.ti.dvt.profile.setup.ui_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profile.setup.ui_4.1.0.201609091143.jar","122","504b",".jar","1","0"
"349","Extension matches magic number","9/1/2018 12:38:42 AM","com.ti.dvt.profileanalysis.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profileanalysis.doc_4.1.0.201609091143.jar","384","504b",".jar","1","0"
"350","Extension matches magic number","9/1/2018 12:38:40 AM","com.ti.dvt.profileanalysismanagerplugin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profileanalysismanagerplugin_4.1.0.201609091143.jar","65","504b",".jar","1","0"
"351","Extension matches magic number","9/1/2018 12:38:42 AM","com.ti.dvt.profileanalysismanager_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profileanalysismanager_4.1.0.201609091143.jar","18","504b",".jar","1","0"
"352","Extension matches magic number","9/1/2018 12:38:43 AM","com.ti.dvt.profileanalysis_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profileanalysis_4.1.0.201609091143.jar","43","504b",".jar","1","0"
"353","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.profiledata_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.profiledata_4.1.0.201609091143.jar","43","504b",".jar","1","0"
"354","Extension matches magic number","9/1/2018 12:38:39 AM","com.ti.dvt.rcp_3.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.rcp_3.1.0.201609091143.jar","194","504b",".jar","1","0"
"355","Extension matches magic number","9/1/2018 12:38:39 AM","com.ti.dvt.resource.explorer_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.resource.explorer_4.1.0.201609091143.jar","704","504b",".jar","1","0"
"356","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.rovsupport.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.rovsupport.doc_4.1.0.201609091143.jar","71","504b",".jar","1","0"
"357","Extension matches magic number","9/1/2018 12:38:41 AM","com.ti.dvt.rovsupport_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.rovsupport_4.1.0.201609091143.jar","37","504b",".jar","1","0"
"358","Extension matches magic number","9/1/2018 12:38:34 AM","com.ti.dvt.rta.interfaces_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.rta.interfaces_4.1.0.201609091143.jar","16","504b",".jar","1","0"
"359","Extension matches magic number","9/1/2018 12:38:43 AM","com.ti.dvt.scripting.engine_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.engine_4.1.0.201609091143.jar","2249","504b",".jar","1","0"
"360","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.scripting.ui.graphvisualization_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui.graphvisualization_4.1.0.201609091143.jar","11","504b",".jar","1","0"
"361","Extension matches magic number","9/1/2018 12:38:43 AM","com.ti.dvt.scripting.ui.profileanalysis_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui.profileanalysis_4.1.0.201609091143.jar","11","504b",".jar","1","0"
"362","Extension matches magic number","9/1/2018 12:38:34 AM","com.ti.dvt.scripting.ui.rov_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui.rov_4.1.0.201609091143.jar","08","504b",".jar","1","0"
"363","Extension matches magic number","9/1/2018 12:38:37 AM","com.ti.dvt.scripting.ui.trace_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui.trace_4.1.0.201609091143.jar","06","504b",".jar","1","0"
"364","Extension matches magic number","9/1/2018 12:38:45 AM","com.ti.dvt.scripting.ui.via_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui.via_4.1.0.201609091143.jar","10","504b",".jar","1","0"
"365","Extension matches magic number","9/1/2018 12:38:44 AM","com.ti.dvt.scripting.ui_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.scripting.ui_4.1.0.201609091143.jar","49","504b",".jar","1","0"
"366","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.sourcerefplugin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.sourcerefplugin_4.1.0.201609091143.jar","16","504b",".jar","1","0"
"367","Extension matches magic number","9/1/2018 12:38:28 AM","com.ti.dvt.sourceref_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.sourceref_4.1.0.201609091143.jar","36","504b",".jar","1","0"
"368","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.symbolmanager.bin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.symbolmanager.bin_4.1.0.201609091143.jar","33","504b",".jar","1","0"
"369","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.dvt.symbolmanager_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.symbolmanager_4.1.0.201609091143.jar","12","504b",".jar","1","0"
"370","Extension matches magic number","9/1/2018 12:38:46 AM","com.ti.dvt.tidisassembly_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.tidisassembly_4.1.0.201609091143.jar","6601","504b",".jar","1","0"
"371","Extension matches magic number","9/1/2018 12:38:34 AM","com.ti.dvt.trace.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.trace.doc_4.1.0.201609091143.jar","3960","504b",".jar","1","0"
"372","Extension matches magic number","9/1/2018 12:38:38 AM","com.ti.dvt.ui.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.ui.doc_4.1.0.201609091143.jar","1604","504b",".jar","1","0"
"373","Extension matches magic number","9/1/2018 12:38:31 AM","com.ti.dvt.uia.bin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.uia.bin_4.1.0.201609091143.jar","139","504b",".jar","1","0"
"374","Extension matches magic number","9/1/2018 12:38:28 AM","com.ti.dvt.uia.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.uia.doc_4.1.0.201609091143.jar","2244","504b",".jar","1","0"
"375","Extension matches magic number","9/1/2018 12:38:30 AM","com.ti.dvt.uia_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.uia_4.1.0.201609091143.jar","31","504b",".jar","1","0"
"376","Extension matches magic number","9/1/2018 12:38:29 AM","com.ti.dvt.ui_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.ui_4.1.0.201609091143.jar","1381","504b",".jar","1","0"
"377","Extension matches magic number","9/1/2018 12:38:29 AM","com.ti.dvt.via.doc_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.via.doc_4.1.0.201609091143.jar","140","504b",".jar","1","0"
"378","Extension matches magic number","9/1/2018 12:38:29 AM","com.ti.dvt.via.imvr_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.via.imvr_4.1.0.201609091143.jar","112","504b",".jar","1","0"
"379","Extension matches magic number","9/1/2018 12:38:45 AM","com.ti.dvt.via.plugin.ccs_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.via.plugin.ccs_4.1.0.201609091143.jar","29","504b",".jar","1","0"
"380","Extension matches magic number","9/1/2018 12:38:34 AM","com.ti.dvt.via.plugin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.dvt.via.plugin_4.1.0.201609091143.jar","39","504b",".jar","1","0"
"381","Extension matches magic number","9/1/2018 12:38:34 AM","com.ti.uia.autostart.view_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.autostart.view_4.1.0.201609091143.jar","87","504b",".jar","1","0"
"382","Extension matches magic number","9/1/2018 12:38:27 AM","com.ti.uia.autostart_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.autostart_4.1.0.201609091143.jar","59","504b",".jar","1","0"
"383","Extension matches magic number","9/1/2018 12:38:43 AM","com.ti.uia.globaltimebase_1.0.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.globaltimebase_1.0.0.201609091143.jar","53","504b",".jar","1","0"
"384","Extension matches magic number","9/1/2018 12:38:26 AM","com.ti.uia.sessionmgr.view_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.sessionmgr.view_4.1.0.201609091143.jar","133","504b",".jar","1","0"
"385","Extension matches magic number","9/1/2018 12:38:39 AM","com.ti.uia.transport.jtag_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.transport.jtag_4.1.0.201609091143.jar","190","504b",".jar","1","0"
"386","Extension matches magic number","9/1/2018 12:38:44 AM","com.ti.uia.transport.monitor_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.uia.transport.monitor_4.1.0.201609091143.jar","74","504b",".jar","1","0"
"387","Extension matches magic number","9/1/2018 12:38:41 AM","com.ti.util.diskspacemonitor.bin_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.util.diskspacemonitor.bin_4.1.0.201609091143.jar","16","504b",".jar","1","0"
"388","Extension matches magic number","9/1/2018 12:38:37 AM","com.ti.util.diskspacemonitor_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.util.diskspacemonitor_4.1.0.201609091143.jar","14","504b",".jar","1","0"
"389","Extension matches magic number","9/1/2018 12:38:40 AM","com.ti.util.ui_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.util.ui_4.1.0.201609091143.jar","74","504b",".jar","1","0"
"390","Extension matches magic number","9/1/2018 12:38:43 AM","com.ti.util_4.1.0.201609091143.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\com.ti.util_4.1.0.201609091143.jar","42","504b",".jar","1","0"
"391","Extension matches magic number","9/1/2018 12:38:30 AM","org.eclipse.draw2d_3.10.1.201508170204.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.draw2d_3.10.1.201508170204.jar","567","504b",".jar","1","0"
"392","Extension matches magic number","9/1/2018 12:38:31 AM","org.eclipse.gef_3.10.1.201508170204.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.gef_3.10.1.201508170204.jar","847","504b",".jar","1","0"
"393","Extension matches magic number","9/1/2018 12:38:43 AM","org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_3.2.0.201604241800.jar","103","504b",".jar","1","0"
"394","Extension matches magic number","9/1/2018 12:38:28 AM","org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.31_2.5.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.31_2.5.0.201604241800.jar","02","504b",".jar","1","0"
"395","Extension matches magic number","9/1/2018 12:38:25 AM","org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.40_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.40_3.2.0.201604241800.jar","07","504b",".jar","1","0"
"396","Extension matches magic number","9/1/2018 12:38:33 AM","org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.42_2.5.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.42_2.5.0.201604241800.jar","05","504b",".jar","1","0"
"397","Extension matches magic number","9/1/2018 12:38:42 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC.minimal_3.0.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC.minimal_3.0.0.201604241800.jar","03","504b",".jar","1","0"
"398","Extension matches magic number","9/1/2018 12:38:29 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.00_2.5.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.00_2.5.0.201604241800.jar","02","504b",".jar","1","0"
"399","Extension matches magic number","9/1/2018 12:38:37 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.10_2.5.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.10_2.5.0.201604241800.jar","02","504b",".jar","1","0"
"400","Extension matches magic number","9/1/2018 12:38:28 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.15_2.5.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.15_2.5.0.201604241800.jar","02","504b",".jar","1","0"
"401","Extension matches magic number","9/1/2018 12:38:40 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.16_3.0.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.16_3.0.0.201604241800.jar","02","504b",".jar","1","0"
"402","Extension matches magic number","9/1/2018 12:38:45 AM","org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.2.0.201604241800.jar","74","504b",".jar","1","0"
"403","Extension matches magic number","9/1/2018 12:38:44 AM","org.eclipse.rtsc.xdctools.buildDefinitions_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.buildDefinitions_3.2.0.201604241800.jar","24","504b",".jar","1","0"
"404","Extension matches magic number","9/1/2018 12:38:41 AM","org.eclipse.rtsc.xdctools.managedbuild.core_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.managedbuild.core_3.2.0.201604241800.jar","69","504b",".jar","1","0"
"405","Extension matches magic number","9/1/2018 12:38:27 AM","org.eclipse.rtsc.xdctools.managedbuild.ui_3.2.0.201604241800.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\dvtRepo\plugins\org.eclipse.rtsc.xdctools.managedbuild.ui_3.2.0.201604241800.jar","132","504b",".jar","1","0"
"406","Extension matches magic number","9/1/2018 12:38:08 AM","artifacts.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\eclipserepo\artifacts.jar","21","504b",".jar","1","0"
"407","Extension matches magic number","9/1/2018 12:38:08 AM","content.jar","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\eclipserepo\content.jar","209","504b",".jar","1","0"
"408","Extension not in DB","9/1/2018 12:38:08 AM","p2.index","C:\Users\Samuel\Desktop\Archive\Past Year Archive\ICT1003-Computer Organization and Architecture\Software\CCS6.2.0.00050_win32\baserepo\eclipserepo\p2.index","00","2320",".index","0","0"
"410","File retrieved from zip","9/1/2018 12:38:40 AM","notice.html","notice.html","06","No hex value retrieved for files in zip",".html","0","0"
"412","File retrieved from zip","9/1/2018 12:38:34 AM","","Resources/","00","No hex value retrieved for files in zip","","0","0"
"413","File retrieved from zip","9/1/2018 12:38:34 AM","Eclipse.icns","Resources/Eclipse.icns","248","No hex value retrieved for files in zip",".icns","0","0"
"414","File retrieved from zip","9/1/2018 12:38:34 AM","","MacOS/","00","No hex value retrieved for files in zip","","0","0"
"415","File retrieved from zip","9/1/2018 12:38:34 AM","eclipse","MacOS/eclipse","25","No hex value retrieved for files in zip","","0","0"
"416","File retrieved from zip","9/1/2018 12:38:34 AM","Info.plist","Info.plist","02","No hex value retrieved for files in zip",".plist","0","0"
"418","File retrieved from zip","9/1/2018 12:38:39 AM","icon.xpm","icon.xpm","137","No hex value retrieved for files in zip",".xpm","0","0"
"419","File retrieved from zip","9/1/2018 12:38:39 AM","eclipse","eclipse","68","No hex value retrieved for files in zip","","0","0"
"421","File retrieved from zip","9/1/2018 12:38:41 AM","icon.xpm","icon.xpm","137","No hex value retrieved for files in zip",".xpm","0","0"
"422","File retrieved from zip","9/1/2018 12:38:41 AM","eclipse","eclipse","77","No hex value retrieved for files in zip","","0","0"
"424","File retrieved from zip","9/1/2018 12:38:41 AM","eclipse.exe","eclipse.exe","312","No hex value retrieved for files in zip",".exe","1","0"
"425","File retrieved from zip","9/1/2018 12:38:41 AM","eclipsec.exe","eclipsec.exe","24","No hex value retrieved for files in zip",".exe","1","0"
